1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
0.045798,0.027912,0.023468,0.021004,0.0075772,0.0020963,0.00077942,0.0005473,0.00044153,5.71E-05,0.0016958,-0.00057711,0.0019762,-7.22E-05,-0.0005859,0.045786,0.027918,0.023395,0.021013,0.0075577,4.6561,2.3977,3.6417,2.3706,2.4484,0.034971,0.045574,0.10882,0.1269,-0.38974,0.16605,0.071435,0.074424,0.052606,0.013487,3.8099,2.7048,3.1713,2.5046,2.2709,0.0020975,0.0007791,0.00055075,0.00044117,5.74E-05,0.038058,0.034776,0.030375,0.020257,0.011376,0.001448,0.0012101,0.00092269,0.00041059,0.00012952,-0.0012688,0.0005174,-0.00083015,0.00028663,5.01E-05,0.038052,0.034787,0.030376,0.020263,0.011381,3.7213,2.2111,3.6356,2.5524,2.4819,0.12237,-0.036915,-0.05319,-0.013144,0.1356,0.14692,0.085608,0.080864,0.047863,0.026882,3.8605,2.4617,3.3434,2.3628,2.363,0.0014484,0.0012094,0.00092261,0.00041033,0.00012941,1
0.046356,0.026883,0.021519,0.018222,0.0092861,0.0021505,0.0007232,0.00046326,0.0003309,8.54E-05,0.00041372,-0.00026407,-0.00044092,-0.0011862,-0.00093837,0.046373,0.026892,0.021523,0.018191,0.0092425,3.9633,2.7196,4.1751,2.6638,2.9466,0.099856,-0.055018,-0.34771,0.14639,0.45936,0.15319,0.072677,0.055815,0.041911,0.023205,3.3802,2.79,3.6295,2.4096,2.4989,0.0021489,0.00072267,0.00046307,0.00033204,8.62E-05,0.039573,0.035736,0.035495,0.019188,0.0092096,0.0015638,0.0012775,0.0012609,0.00036689,8.47E-05,-0.0018921,0.00080305,-0.00023904,-0.0012624,0.00046818,0.039544,0.035742,0.035509,0.019154,0.0092015,3.7098,2.3478,3.5083,2.5769,2.2396,0.066371,-0.052968,0.16408,0.49581,-0.1789,0.13226,0.098481,0.10952,0.050427,0.016886,3.6457,2.7558,3.0854,2.6281,2.2075,0.001566,0.001277,0.0012599,0.00036817,8.48E-05,1
0.050112,0.028243,0.032423,0.023048,0.008385,0.0025076,0.00079819,0.0010512,0.0005315,7.03E-05,0.0023908,-0.00039019,0.00095982,-0.0003685,0.00019517,0.050076,0.028252,0.032422,0.023054,0.0083862,4.2691,2.4154,3.0994,2.5568,2.0946,0.073997,-0.0076373,-0.018111,0.21876,-0.18074,0.17876,0.074891,0.08961,0.057549,0.016527,3.5672,2.7285,2.7638,2.4969,1.9901,0.0025112,0.00079768,0.0010512,0.00053119,7.03E-05,0.048107,0.035893,0.031325,0.01877,0.0064824,0.0023156,0.0012894,0.00098121,0.00035231,4.20E-05,-0.00078195,8.31E-05,0.0009144,0.00054916,9.09E-05,0.048121,0.035908,0.031324,0.01877,0.0064845,4.3619,2.2495,5.6817,2.1611,2.8713,0.05736,0.022392,0.40033,0.14109,-0.12502,0.17093,0.086798,0.13016,0.0384,0.015755,3.71,2.904,4.1551,2.1518,2.4305,0.0023143,0.0012883,0.00098123,0.00035232,4.20E-05,1
0.047968,0.027733,0.022804,0.017813,0.0091155,0.002301,0.00076942,0.00052045,0.00031757,8.31E-05,0.0013347,-0.00056516,-5.38E-05,-1.24E-05,0.00022973,0.047969,0.027738,0.022813,0.01782,0.0091164,4.1037,2.6295,4.2364,3.0768,1.7487,0.06602,0.013049,-0.15192,0.011563,0.13285,0.17376,0.087526,0.067596,0.046941,0.016539,3.6224,3.1561,3.6089,2.6918,1.8144,0.0023009,0.0007691,0.00052002,0.0003173,8.31E-05,0.038068,0.030421,0.026014,0.021571,0.0093213,0.00145,0.0009255,0.00067674,0.00046562,8.65E-05,-0.0005992,0.00085925,0.00074318,0.00027876,0.00064946,0.038079,0.030422,0.026014,0.021578,0.0093026,3.8984,2.279,4.8853,2.9953,2.2674,0.044012,0.015477,0.29717,0.038229,-0.4372,0.1549,0.090764,0.099888,0.060918,0.015018,4.069,2.9836,3.8398,2.8241,2.182,0.0014492,0.00092546,0.00067673,0.00046531,8.69E-05,1
0.050039,0.026804,0.022594,0.014696,0.01195,0.0025051,0.00071872,0.00051053,0.00021584,0.00014104,0.00096811,-0.00057949,-0.00060089,-0.0005533,-0.0013685,0.050051,0.026809,0.022595,0.014691,0.011876,4.0905,2.6772,3.3742,2.2655,2.1487,0.015826,0.0084999,0.15255,0.15245,0.20971,0.1636,0.077155,0.072894,0.034963,0.024747,3.2695,3.1808,3.2263,2.3791,2.0709,0.0025039,0.00071846,0.00051047,0.00021597,0.0001428,0.044345,0.032167,0.0309,0.023336,0.010465,0.001964,0.0010352,0.00095495,0.00054492,0.00010958,-0.0020288,0.00065831,-0.00081291,-0.00031503,-0.00014224,0.044317,0.032174,0.030902,0.023344,0.010468,3.6309,2.3155,2.8853,4.6566,1.8553,0.048684,-0.033219,-0.03278,0.083235,0.1703,0.16949,0.074019,0.076666,0.072652,0.020742,3.822,2.5266,2.721,3.5154,1.9821,0.0019665,0.0010347,0.00095481,0.00054457,0.00010951,1
0.04897,0.026126,0.024753,0.016459,0.0079537,0.0023989,0.00068303,0.0006132,0.00027014,6.20E-05,0.0010862,-0.00032758,-0.00015342,-0.00099301,-0.0011404,0.048978,0.026135,0.024763,0.016436,0.0078748,4.0642,2.8294,4.0622,2.9205,2.7754,-0.013814,0.054014,0.12774,0.0022144,-0.44263,0.16098,0.086825,0.08838,0.042697,0.015352,3.7876,3.3233,3.5705,2.5941,2.4012,0.0023981,0.00068257,0.00061272,0.0002709,6.33E-05,0.048471,0.033109,0.029629,0.021454,0.0081942,0.0023493,0.0010971,0.00087721,0.00045997,6.69E-05,-0.0014347,0.00019039,0.0011866,-0.00083067,0.00056031,0.04847,0.033123,0.029618,0.021447,0.0081784,3.9024,2.4142,3.4044,2.5818,2.6465,0.00096419,0.011048,-0.025169,0.011388,-0.20885,0.17121,0.097658,0.080881,0.053339,0.017708,3.7829,2.9495,2.9351,2.4862,2.3714,0.0023494,0.0010962,0.00087788,0.00046028,6.71E-05,1
0.04844,0.028058,0.018555,0.016198,0.01084,0.0023464,0.00078766,0.00034456,0.00026258,0.00011457,0.0014072,0.00049059,4.92E-05,-0.00012201,0.0017377,0.04844,0.028065,0.018562,0.016204,0.010704,4.2544,2.3634,2.4354,2.5595,2.8084,0.038131,-0.06831,-0.015687,0.078656,0.089111,0.16964,0.066028,0.047054,0.03758,0.027131,3.6571,2.6332,2.5913,2.6837,2.503,0.0023464,0.00078725,0.00034427,0.00026238,0.0001175,0.044196,0.031451,0.026759,0.015301,0.010257,0.0019508,0.00098893,0.00071343,0.00023432,0.00010441,-0.0020383,0.0010407,-0.0017911,8.84E-05,-0.00093553,0.044168,0.031447,0.02671,0.015308,0.010218,4.8696,2.3465,5.5119,3.0593,2.5074,0.080838,-0.0046227,-0.26498,-0.064105,0.1465,0.17947,0.08448,0.092969,0.034211,0.025008,4.1293,3.104,3.8382,2.8484,2.4383,0.0019533,0.00098919,0.00071604,0.00023413,0.0001052,1
0.049515,0.027234,0.016102,0.012569,0.0090878,0.0024493,0.00074106,0.00025906,0.0001581,8.26E-05,0.0021189,-0.0011102,-0.00066884,6.09E-05,0.00030556,0.04949,0.027222,0.016095,0.012574,0.0090865,4.1889,2.7457,3.8874,2.5607,2.3264,0.0043932,-0.0086633,0.36807,-0.040621,-0.016287,0.17596,0.085339,0.058282,0.02848,0.020954,3.5536,3.1336,3.6195,2.3715,2.3057,0.0024517,0.00074168,0.00025929,0.00015797,8.26E-05,0.038009,0.03314,0.023221,0.017918,0.0082154,0.0014459,0.0010987,0.00053963,0.0003211,6.75E-05,4.33E-05,0.00065996,9.14E-05,-0.00047145,-0.0003124,0.038025,0.033147,0.02323,0.017919,0.0082128,3.4568,2.198,4.687,2.8974,2.2567,0.11018,0.032631,-0.40204,0.080882,-0.021533,0.13367,0.080972,0.063415,0.053241,0.015181,3.5168,2.5652,3.9192,2.9714,2.2869,0.0014447,0.0010982,0.00053919,0.00032106,6.75E-05,1
0.049851,0.024403,0.018879,0.019175,0.0066891,0.0024862,0.00059602,0.00035669,0.0003679,4.45E-05,0.0010002,-5.87E-05,7.96E-05,0.00027458,-0.00056802,0.049862,0.024414,0.018886,0.019181,0.0066677,4.0254,2.5403,2.5102,3.4617,3.3951,0.034379,-0.079318,-0.13831,-0.0084558,0.12144,0.19375,0.066097,0.042094,0.054436,0.017475,3.8866,3.0198,2.8493,2.908,2.6125,0.0024851,0.00059553,0.0003564,0.00036767,4.47E-05,0.047816,0.036832,0.035101,0.021778,0.0078774,0.0022861,0.0013569,0.0012317,0.00047422,6.20E-05,-0.0014591,0.00087667,0.0011736,0.0006698,-0.00023952,0.047813,0.036836,0.035096,0.021776,0.007877,4.5589,2.1186,3.2675,5.9728,2.9891,-0.10815,-0.038174,-0.080932,0.18116,-0.27625,0.18135,0.083905,0.089481,0.080792,0.01504,4.5772,2.2937,2.8309,3.7098,2.7283,0.0022864,0.0013566,0.0012321,0.00047427,6.21E-05,1
0.048156,0.026336,0.020138,0.015683,0.014236,0.0023195,0.00069414,0.0004058,0.0002459,0.00020284,0.0012005,2.52E-05,-0.00025508,-0.00049873,7.04E-05,0.048161,0.026347,0.020145,0.015681,0.014242,4.7475,2.5594,3.4666,2.9637,2.1269,0.044666,0.063591,-0.17052,0.14296,0.15701,0.20123,0.07128,0.050832,0.040661,0.027483,4.1788,2.7066,2.8048,2.5927,1.9305,0.002319,0.00069357,0.00040553,0.00024594,0.00020268,0.048575,0.033539,0.032642,0.020062,0.0083715,0.0023544,0.0011247,0.0010653,0.00040263,6.90E-05,-0.0026599,0.0010404,-0.0010361,0.00043118,0.0010536,0.048522,0.033537,0.03264,0.020066,0.0083084,3.8299,2.1502,3.16,2.6774,2.2679,-0.13128,-0.018319,0.032316,-0.15541,-0.33478,0.15512,0.087221,0.091948,0.047284,0.01481,3.5621,2.6006,2.8168,2.4281,1.9473,0.0023595,0.0011249,0.0010655,0.00040248,7.01E-05,1
