1,2,3,4,5,6,7,8,9,10,11,12,13
0.21805,0.32783,0.037749,0.10377,-0.099143,0.061588,2.9462,2.8185,0.055228,0.0022116,0.98094,0.94669,1
0.23088,0.33128,0.045658,0.10433,-0.087673,0.074209,2.9527,2.5858,-0.13142,-0.16088,0.9769,0.9464,1
0.22853,0.36628,0.043122,0.13082,-0.095608,0.058747,3.0154,3.0432,-0.003936,-0.032741,0.9782,0.9323,1
0.22632,0.34806,0.043177,0.11519,-0.08989,0.077824,3.2288,2.7404,-0.021493,-0.14902,0.97817,0.94065,1
0.21519,0.32444,0.036575,0.10029,-0.098816,0.071083,3.3587,2.7556,-0.047429,-0.051683,0.98154,0.94853,1
0.228,0.34012,0.04393,0.11004,-0.089936,0.075697,2.8984,2.618,-0.082505,-0.087289,0.97779,0.94338,1
0.23144,0.35401,0.045345,0.11836,-0.090881,0.08401,3.3402,2.764,-0.0036494,-0.04984,0.97706,0.93896,1
0.21488,0.32256,0.038231,0.098146,-0.089308,0.077352,2.8618,2.5511,-0.073067,-0.1034,0.9807,0.94966,1
0.20785,0.31539,0.035718,0.095032,-0.086691,0.067219,3.6987,2.4617,-0.0074187,0.0067215,0.98198,0.9513,1
0.21538,0.35794,0.039571,0.12238,-0.082777,0.076419,2.8222,2.4835,0.030433,-0.085485,0.98001,0.93681,1
0.22735,0.34458,0.044464,0.1127,-0.085201,0.07832,3.1014,2.6836,-0.014496,-0.036843,0.97752,0.94197,1
0.20409,0.33293,0.033526,0.1064,-0.090296,0.067311,3.1561,2.7708,-0.036453,-0.11955,0.98309,0.9453,1
0.22024,0.33259,0.039843,0.10632,-0.093242,0.066199,3.0219,2.5981,-0.060393,-0.12465,0.97988,0.94535,1
0.23056,0.33512,0.044731,0.10579,-0.092009,0.081306,3.3096,2.7519,-0.089632,-0.15557,0.97738,0.94563,1
0.21576,0.36305,0.039028,0.12439,-0.086921,0.086692,2.9625,2.7639,-0.11387,-0.10934,0.98029,0.93574,1
0.23089,0.33087,0.044642,0.10366,-0.093303,0.07678,3.6146,2.4871,0.062242,-0.12794,0.97742,0.94675,1
0.21957,0.33759,0.040207,0.10688,-0.089649,0.084721,2.7448,3.0107,-0.096195,-0.15083,0.97969,0.94505,1
0.22884,0.36145,0.043699,0.12352,-0.093308,0.085032,3.3264,2.848,-0.012356,-0.20631,0.97791,0.93621,1
0.22737,0.33866,0.040018,0.10914,-0.10823,0.075119,2.8374,2.8295,-0.023281,-0.10483,0.97979,0.94385,1
0.22241,0.32748,0.039463,0.10047,-0.10018,0.082818,2.8715,2.6783,-0.0077659,-0.1482,0.98007,0.94843,1
0.21195,0.33588,0.035342,0.10598,-0.098035,0.083177,2.8586,2.6648,-0.050693,-0.039931,0.98217,0.94552,1
0.22041,0.33854,0.039364,0.10732,-0.096179,0.085939,3.0838,2.5884,0.029334,-0.1399,0.98012,0.94482,1
0.23049,0.35112,0.043529,0.11506,-0.09815,0.09123,2.9438,2.6727,-0.13823,-0.098092,0.97799,0.94071,1
0.23341,0.34452,0.046432,0.11022,-0.089938,0.092549,2.7757,2.7854,-0.020082,-0.15505,0.97651,0.94328,1
0.21135,0.3506,0.038175,0.11389,-0.08078,0.095503,3.1543,2.873,-0.082643,-0.19937,0.98073,0.94133,1
0.2116,0.34191,0.038645,0.10519,-0.0785,0.10863,2.9132,2.653,-0.075881,-0.20551,0.98049,0.94594,1
0.22982,0.34311,0.044111,0.10843,-0.093493,0.096875,2.8227,2.5647,-0.086115,-0.11874,0.9777,0.94423,1
0.22126,0.32334,0.041227,0.097638,-0.088111,0.083606,3.0414,2.6431,-0.048981,-0.14477,0.97917,0.94993,1
0.22177,0.32666,0.040848,0.099029,-0.091474,0.088094,2.9863,2.5869,-0.076852,-0.13412,0.97936,0.9492,1
0.22721,0.34347,0.040987,0.11156,-0.1033,0.080658,2.582,2.6286,-0.058369,-0.076341,0.97929,0.94257,1
0.22559,0.33816,0.042157,0.10616,-0.093646,0.090981,2.8624,2.8146,-0.12677,-0.13596,0.97869,0.94543,1
0.22181,0.34965,0.040428,0.11531,-0.093828,0.083929,2.7816,2.6984,0.0057488,-0.13791,0.97958,0.94058,1
0.22372,0.3275,0.040262,0.10169,-0.099108,0.075179,2.8483,2.6768,-0.14685,-0.087614,0.97966,0.94779,1
0.22925,0.32789,0.043711,0.10214,-0.094228,0.073897,2.9158,2.8381,-0.12051,-0.24795,0.9779,0.94756,1
0.22059,0.33448,0.039235,0.10491,-0.097255,0.084003,2.6763,2.834,-0.074697,-0.16457,0.98019,0.94609,1
0.23167,0.33007,0.042581,0.10211,-0.10547,0.083202,2.6958,2.7305,-0.093716,-0.18679,0.97848,0.94757,1
0.22629,0.34074,0.041887,0.10765,-0.096726,0.092406,2.869,2.8064,-0.12224,-0.13772,0.97883,0.94464,1
0.22002,0.32697,0.038597,0.10159,-0.099219,0.073559,2.976,2.6996,0.0027013,-0.069873,0.98051,0.94785,1
0.23331,0.35058,0.044696,0.11705,-0.098857,0.077158,2.9323,2.83,-0.093621,-0.10635,0.9774,0.93965,1
0.22631,0.32741,0.04101,0.10053,-0.1012,0.082173,2.5839,2.5287,-0.059176,-0.048379,0.97928,0.94841,1
0.22866,0.333,0.041955,0.10409,-0.10182,0.083011,2.8057,2.8897,-0.12717,-0.097825,0.9788,0.94653,1
0.22801,0.34308,0.041824,0.11087,-0.101,0.083193,2.6296,2.6471,-0.065261,-0.15185,0.97886,0.94293,1
0.2327,0.33101,0.043631,0.10291,-0.10275,0.082091,2.6873,2.6214,-0.14995,-0.13704,0.97794,0.94715,1
0.21332,0.3504,0.03744,0.1138,-0.089985,0.095284,2.9764,2.6772,-0.083692,-0.17364,0.9811,0.94138,1
0.22354,0.34478,0.041867,0.11256,-0.090201,0.080059,2.5925,2.6453,-0.08046,-0.15891,0.97884,0.94204,1
0.221,0.33133,0.037011,0.10237,-0.10892,0.086567,2.5521,2.7959,-0.039933,-0.085524,0.98132,0.94743,1
0.23198,0.33943,0.044343,0.10791,-0.097522,0.085965,2.8313,2.741,0.017438,-0.033749,0.97758,0.9445,1
0.23421,0.34052,0.045821,0.10877,-0.095252,0.085248,2.8777,2.427,-0.075721,-0.054692,0.97682,0.94405,1
0.22718,0.32618,0.042921,0.1004,-0.093403,0.077982,2.7077,2.6196,-0.10064,-0.12688,0.9783,0.94847,1
0.22664,0.35909,0.041925,0.12168,-0.097349,0.085818,2.7641,2.8096,-0.047418,-0.076334,0.97881,0.93719,1
0.22652,0.33245,0.042455,0.10363,-0.094299,0.083515,3.0388,2.5558,-0.063776,-0.17411,0.97854,0.94677,1
