RMS_DE,Variance_DE,Mean_DE,STD_DE,Kurtosis_DE,Skewness_DE,Peak_DE,CrestFactor_DE,SNR_DE,Entropy_DE,Energy_DE,DE_Label
-0.66442,-0.53483,-0.71382,-0.65647,2.0536,1.9319,0.87499,1.7715,-1.6305,-1.3428,-0.71093,1
-0.6686,-0.53503,-0.71611,-0.66086,2.2352,2.0542,0.27019,1.7091,-1.8668,-1.3644,-0.71412,1
-0.65114,-0.5341,-0.70544,-0.64259,1.5142,1.5215,1.9041,1.4176,-1.4544,-1.3996,-0.70296,1
-0.66438,-0.53483,-0.71467,-0.65635,2.1764,2.023,0.84431,1.7472,-1.736,-1.3568,-0.71211,1
-0.65875,-0.53452,-0.71356,-0.65027,2.3107,2.1514,1.8501,1.9421,-2.1043,-1.3602,-0.71212,1
-0.66707,-0.53496,-0.7154,-0.65924,1.9655,1.8797,0.56146,1.7828,-2.1703,-1.3546,-0.71246,1
-0.66122,-0.53466,-0.71466,-0.65289,2.2563,2.1154,1.5013,1.9211,-1.1476,-1.4047,-0.71132,1
-0.65908,-0.53454,-0.71471,-0.65054,2.4521,2.2672,1.547,1.7766,-1.0785,-1.372,-0.71399,1
-0.65674,-0.53441,-0.71382,-0.64805,2.429,2.2273,1.983,1.8655,-1.1031,-1.4654,-0.71374,1
-0.6647,-0.53484,-0.71425,-0.65674,1.9963,1.9108,0.80231,1.7456,0.57706,-1.331,-0.7145,1
-0.66384,-0.53479,-0.71548,-0.65569,2.4329,2.2358,1.0286,1.8272,-0.4998,-1.3838,-0.71339,1
-0.66502,-0.53485,-0.71607,-0.65694,2.3618,2.1719,0.87296,1.822,-1.8014,-1.4045,-0.71359,1
-0.66044,-0.53462,-0.71401,-0.65208,2.0941,2.0035,1.2245,1.6773,-1.0448,-1.3611,-0.71173,1
-0.67182,-0.53518,-0.71835,-0.6642,2.2837,2.1017,0.068604,1.8592,-2.0924,-1.3688,-0.71418,1
-0.6636,-0.53478,-0.71583,-0.6554,2.2453,2.0914,0.86861,1.698,-1.7633,-1.3988,-0.71176,1
-0.66584,-0.5349,-0.71541,-0.65789,2.1514,2.0074,0.77281,1.8236,-1.8068,-1.3651,-0.71131,1
-0.66645,-0.53493,-0.71604,-0.65851,2.1471,2.0221,0.60163,1.7568,-1.8507,-1.3758,-0.71485,1
-0.65633,-0.5344,-0.71005,-0.64791,2.1246,1.9994,1.9343,1.8045,-1.8736,-1.302,-0.70978,1
-0.66897,-0.53505,-0.71618,-0.66126,2.0451,1.9135,0.34074,1.7948,-1.6019,-1.3419,-0.71231,1
-0.66608,-0.53491,-0.71471,-0.65821,2.0229,1.9162,0.60656,1.7275,-1.2295,-1.3114,-0.71225,1
-0.66475,-0.53484,-0.71468,-0.65676,2.1309,1.9964,0.77651,1.7321,-0.93569,-1.3791,-0.71218,1
-0.66705,-0.53496,-0.7161,-0.65916,2.3034,2.1247,0.61105,1.8166,-2.1071,-1.3506,-0.71292,1
-0.65726,-0.53444,-0.71205,-0.64876,2.0631,1.9757,1.7361,1.7537,-1.5418,-1.3478,-0.70926,1
-0.66028,-0.53461,-0.71209,-0.65206,2.0516,1.9529,1.2909,1.7076,-1.4764,-1.3379,-0.71132,1
-0.66339,-0.53478,-0.71417,-0.6553,2.1377,2.0021,1.125,1.8537,-1.3123,-1.3782,-0.71348,1
-0.67238,-0.5352,-0.7196,-0.66472,2.2044,2.0901,0.015653,1.8733,-1.4408,-1.3807,-0.71612,1
-0.66285,-0.53475,-0.71395,-0.65473,2.2827,2.1121,1.1287,1.8105,-1.3153,-1.3353,-0.71073,1
-0.66307,-0.53475,-0.71581,-0.65482,2.2885,2.1458,1.0029,1.7447,-1.8939,-1.4035,-0.71371,1
-0.66671,-0.53494,-0.71605,-0.65879,2.2359,2.0729,0.58447,1.7669,-2.127,-1.3697,-0.71487,1
-0.66203,-0.53471,-0.7129,-0.65392,2.159,2.029,1.1744,1.7728,-1.5071,-1.3224,-0.71234,1
-0.66299,-0.53475,-0.71428,-0.65485,2.1139,1.9698,1.0998,1.8026,-1.9323,-1.4188,-0.71385,1
-0.66716,-0.53497,-0.71385,-0.65948,1.7716,1.6972,0.21734,1.5445,-1.6143,-1.4005,-0.7112,1
-0.67295,-0.53523,-0.71716,-0.66555,2.0473,1.9132,-0.23612,1.7312,-1.6514,-1.2825,-0.71356,1
-0.67353,-0.53526,-0.71656,-0.66625,1.715,1.6624,-0.47301,1.5993,-1.0863,-1.3597,-0.71269,1
-0.66717,-0.53497,-0.71438,-0.65944,1.9974,1.8822,0.32293,1.6205,-0.84152,-1.3512,-0.71391,1
-0.66177,-0.5347,-0.71162,-0.65374,1.7702,1.7213,0.77722,1.4897,-1.1377,-1.3627,-0.71013,1
-0.67014,-0.5351,-0.71729,-0.66244,2.1191,2.0033,0.24479,1.8318,-1.8625,-1.338,-0.71469,1
-0.66885,-0.53504,-0.71627,-0.66112,2.1615,2.0041,0.25387,1.7193,-0.39275,-1.3579,-0.7132,1
-0.65682,-0.53442,-0.71075,-0.64839,2.0447,1.9419,1.7045,1.7011,-1.8473,-1.3837,-0.70822,1
-0.67096,-0.53515,-0.71516,-0.66354,1.6436,1.5923,-0.3901,1.4255,-1.4466,-1.338,-0.71302,1
-0.6632,-0.53478,-0.71081,-0.65538,1.8551,1.7789,0.86454,1.6621,-1.7247,-1.2375,-0.70932,1
-0.66502,-0.53486,-0.71433,-0.65708,2.0366,1.9393,0.71678,1.7135,-1.4604,-1.4249,-0.71215,1
-0.6633,-0.53478,-0.71175,-0.65541,1.8425,1.7513,0.79882,1.6257,-1.3755,-1.3454,-0.71178,1
-0.67047,-0.53512,-0.71694,-0.66284,1.9792,1.8823,0.18691,1.8194,-1.9606,-1.3612,-0.71532,1
-0.66344,-0.53478,-0.71313,-0.65545,2.0447,1.9335,1.1364,1.8659,-1.4983,-1.3508,-0.71234,1
